seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag;;;
6;0.0275938;-1;0;19;1323.37;0;-1;;;
7;0.0172273;-1;0;0;826.504;0;-1;;;
7;0.346139;-1;0;1;16606.6;0;-1;;;
7;0.379041;-1;0;2;18185.1;0;-1;;;
7;0.137135;-1;0;3;6579.27;0;-1;;;
7;0.383267;-1;0;4;18387.8;0;-1;;;
7;0.342971;-1;0;5;16454.6;0;-1;;;
7;0.0261699;-1;0;6;1255.54;0;-1;;;
7;1;1;1;7;47976.6;8.83869E-007;0;;;
7;0.0293305;-1;0;8;1407.17;0;-1;;;
7;0.29454;-1;0;9;14131;0;-1;;;
7;0.194989;-1;0;10;9354.91;0;-1;;;
7;0.122985;-1;0;11;5900.39;0;-1;;;
7;0.249394;-1;0;12;11965.1;0;-1;;;
7;0.12259;-1;0;13;5881.46;0;-1;;;
7;0.0158947;-1;0;14;762.572;0;-1;;;
7;0.0978643;-1;0;15;4695.19;0;-1;;;
7;0.322837;-1;0;16;15488.6;0;-1;;;
7;0.124023;-1;0;17;5950.17;0;-1;;;
7;0.344722;-1;0;18;16538.6;0;-1;;;
7;0.0275837;-1;0;19;1323.37;0;-1;;;
8;0.0172315;-1;0;0;826.504;0;-1;;;
8;0.346223;-1;0;1;16606.6;0;-1;;;
8;0.379134;-1;0;2;18185.1;0;-1;;;
8;0.137168;-1;0;3;6579.27;0;-1;;;
8;0.383361;-1;0;4;18387.8;0;-1;;;
8;0.343055;-1;0;5;16454.6;0;-1;;;
8;0.0261763;-1;0;6;1255.54;0;-1;;;
8;1;1;1;7;47964.8;1.18658E-006;0;;;
8;0.0293376;-1;0;8;1407.17;0;-1;;;
8;0.294612;-1;0;9;14131;0;-1;;;
8;0.195037;-1;0;10;9354.91;0;-1;;;
8;0.123015;-1;0;11;5900.39;0;-1;;;
8;0.249455;-1;0;12;11965.1;0;-1;;;
8;0.12262;-1;0;13;5881.46;0;-1;;;
8;0.0158986;-1;0;14;762.572;0;-1;;;
8;0.0978882;-1;0;15;4695.19;0;-1;;;
8;0.322916;-1;0;16;15488.6;0;-1;;;
8;0.124053;-1;0;17;5950.17;0;-1;;;
8;0.344806;-1;0;18;16538.6;0;-1;;;
8;0.0275905;-1;0;19;1323.37;0;-1;;;
9;1;1;1;0;948.459;3.93653E-005;0;;;
9;17.509;-1;0;1;16606.6;0;-1;;;
9;19.1733;-1;0;2;18185.1;0;-1;;;
9;6.9368;-1;0;3;6579.27;0;-1;;;
9;19.3871;-1;0;4;18387.8;0;-1;;;
9;17.3487;-1;0;5;16454.6;0;-1;;;
9;1.32377;-1;0;6;1255.54;0;-1;;;
9;50.5775;51;0.038302;7;47970.7;1.50777E-006;0;;;
9;1.48364;-1;0;8;1407.17;0;-1;;;
9;14.8989;-1;0;9;14131;0;-1;;;
9;9.86327;-1;0;10;9354.91;0;-1;;;
9;6.22103;-1;0;11;5900.39;0;-1;;;
9;12.6153;-1;0;12;11965.1;0;-1;;;
9;6.20107;-1;0;13;5881.46;0;-1;;;
9;0.804011;-1;0;14;762.572;0;-1;;;
9;4.95034;-1;0;15;4695.19;0;-1;;;
9;16.3303;-1;0;16;15488.6;0;-1;;;
9;6.27352;-1;0;17;5950.17;0;-1;;;
9;17.4373;-1;0;18;16538.6;0;-1;;;
9;1.39529;-1;0;19;1323.37;0;-1;;;
10;4.74408;-1;0.0298513;0;942.931;4.82623E-005;0;;;
10;83.5509;-1;0;1;16606.6;0;-1;;;
10;91.4928;-1;0;2;18185.1;0;-1;;;
10;33.1016;-1;0;3;6579.27;0;-1;;;
10;92.5129;-1;0;4;18387.8;0;-1;;;
10;82.7863;-1;0;5;16454.6;0;-1;;;
10;6.31689;-1;0;6;1255.54;0;-1;;;
10;241.291;241;0.00113521;7;47959;1.83535E-006;0;;;
10;7.07978;-1;0;8;1407.17;0;-1;;;
10;71.096;-1;0;9;14131;0;-1;;;
10;47.0664;-1;0;10;9354.91;0;-1;;;
10;29.6861;-1;0;11;5900.39;0;-1;;;
10;60.1986;-1;0;12;11965.1;0;-1;;;
10;29.5908;-1;0;13;5881.46;0;-1;;;
10;1;1;1;14;198.76;0.00161676;0;;;
10;23.6225;-1;0;15;4695.19;0;-1;;;
10;77.9263;-1;0;16;15488.6;0;-1;;;
10;29.9365;-1;0;17;5950.17;0;-1;;;
10;83.2088;-1;0;18;16538.6;0;-1;;;
10;6.65815;-1;0;19;1323.37;0;-1;;;
11;35.0072;35;0.546066;0;785.269;0.000419125;0;;;
11;1;1;1;1;22.4316;0.000767535;1;;;
11;11.2123;-1;1.02826;2;251.51;0.000789226;1;;;
11;17.2525;-1;0.670792;3;387.001;0.000514856;1;;;
11;21.9395;22;0.513157;4;492.138;0.000393866;1;;;
11;31.1475;31;1.08957;5;698.689;0.000836284;1;;;
11;30.8361;31;1.10299;6;691.704;0.000846585;1;;;
11;2138.79;2139;0.00280983;7;47976.6;2.15664E-006;0;;;
11;39.2052;39;0.543337;8;879.438;0.00041703;1;;;
11;39.56;40;0.488028;9;887.395;0.000374579;1;;;
11;363.616;364;0.0175738;10;8156.51;1.34885E-005;0;;;
11;41.6358;42;0.0698697;11;933.96;5.36274E-005;1;;;
11;461.809;462;0.0108305;12;10359.1;8.31277E-006;0;;;
11;459.202;459;0.00892834;13;10300.6;6.85282E-006;1;;;
11;8.85999;-1;2.78719;14;198.744;0.00213926;0;;;
11;209.311;-1;0;15;4695.19;0;-1;;;
11;690.48;-1;0;16;15488.6;0;-1;;;
11;265.258;-1;0;17;5950.17;0;-1;;;
11;737.287;-1;0;18;16538.6;0;-1;;;
11;58.9958;-1;0;19;1323.37;0;-1;;;
12;28.2735;28;0.612387;0;785.586;0.000517867;0;;;
12;1;1;1;1;27.7852;0.000845653;0;;;
12;8.85537;-1;1.18431;2;246.048;0.00100151;0;;;
12;14.1152;14;0.719925;3;392.193;0.000608807;0;;;
12;21.2738;21;0.772159;4;591.098;0.000652979;0;;;
12;25.1534;25;0.996396;5;698.892;0.000842605;0;;;
12;24.8863;25;0.950047;6;691.471;0.00080341;0;;;
12;7.03233;7;6.02387;7;195.395;0.00509411;1;;;
12;31.6031;32;0.336168;8;878.099;0.000284282;0;;;
12;33.6214;34;0.0712733;9;934.177;6.02725E-005;0;;;
12;293.385;293;0.0185929;10;8151.76;1.57231E-005;0;;;
12;36.1282;36;0.135799;11;1003.83;0.000114839;0;;;
12;17.6974;-1;0.589765;12;491.725;0.000498737;1;;;
12;11.6413;-1;0.638608;13;323.456;0.000540041;1;;;
12;7.28286;-1;6.22024;14;202.356;0.00526017;0;;;
12;184.905;185;0.0257136;15;5137.63;2.17448E-005;0;;;
12;15.8876;16;0.357112;16;441.441;0.000301993;1;;;
12;22.9511;23;0.252548;17;637.701;0.000213568;1;;;
12;330.419;330;0.014739;18;9180.76;1.24641E-005;1;;;
12;48.164;48;0.0640315;19;1338.25;5.41485E-005;0;;;
13;34.5549;35;0.615332;0;785.492;0.000622817;0;;;
13;3.90564;-1;2.56524;1;88.7819;0.00259644;0;;;
13;10.7979;-1;1.13978;2;245.454;0.00115364;0;;;
13;17.2386;17;0.718881;3;391.863;0.000727625;0;;;
