seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag
9;0;-1;0;15;0;0;-1
9;0;-1;0;16;0;0;-1
9;0;-1;0;17;0;0;-1
9;0;-1;0;18;0;0;-1
9;0;-1;0;19;0;0;-1
9;1;1;1;1;944.82;3.69593E-005;0
9;50.7599;51;0.0385947;0;47959;1.42643E-006;0
10;0;-1;0;2;0;0;-1
10;0;-1;0;3;0;0;-1
10;0;-1;0;4;0;0;-1
10;0;-1;0;5;0;0;-1
10;0;-1;0;6;0;0;-1
10;0;-1;0;7;0;0;-1
10;0;-1;0;8;0;0;-1
10;0;-1;0;9;0;0;-1
10;0;-1;0;10;0;0;-1
10;0;-1;0;11;0;0;-1
10;0;-1;0;12;0;0;-1
10;0;-1;0;13;0;0;-1
10;0;-1;0;14;0;0;-1
10;0;-1;0;15;0;0;-1
10;0;-1;0;16;0;0;-1
10;0;-1;0;17;0;0;-1
10;0;-1;0;18;0;0;-1
10;0;-1;0;19;0;0;-1
10;1;1;1;1;944.072;0.000045731;0
10;50.8188;51;0.0383453;0;47976.6;1.75357E-006;0
11;1.2652;-1;0.377739;3;251.491;0.000756032;1
11;3.49017;-1;0.171335;5;693.763;0.000342921;1
11;4.41582;-1;0.108943;6;877.76;0.000218046;1
11;4.72295;-1;0.0268182;7;938.808;5.36758E-005;1
11;0;-1;0;10;0;0;-1
11;0;-1;0;11;0;0;-1
11;0;-1;0;12;0;0;-1
11;0;-1;0;13;0;0;-1
11;0;-1;0;14;0;0;-1
11;0;-1;0;15;0;0;-1
11;0;-1;0;16;0;0;-1
11;0;-1;0;17;0;0;-1
11;0;-1;0;18;0;0;-1
11;0;-1;0;19;0;0;-1
11;1;1;1;2;198.776;0.00200147;0
11;1.94653;2;0.243833;4;386.924;0.000488024;1
11;3.95136;4;0.197487;1;785.436;0.000395263;0
11;52.0901;52;0.00388169;8;10354.3;7.76906E-006;1
11;51.8207;52;0.0032963;9;10300.7;6.59744E-006;1
11;241.301;241;0.001038;0;47964.8;2.07752E-006;0
12;7.36839;-1;6.15445;2;202.303;0.00505401;0
12;1;1;1;10;27.4555;0.000821195;0
12;7.11576;7;5.94191;0;195.367;0.00487947;1
12;8.96257;9;1.17449;3;246.072;0.000964485;0
12;11.9687;12;0.653187;12;328.607;0.000536394;1
12;14.2832;14;0.706496;4;392.152;0.000580171;0
12;16.0825;16;0.354968;15;441.553;0.000291498;1
12;17.9096;18;0.57471;11;491.718;0.000471949;1
12;21.53;22;0.74651;5;591.117;0.00061303;0
12;23.2039;23;0.252127;16;637.076;0.000207045;1
12;25.4513;25;1.0523;13;698.779;0.000864143;1
12;25.1944;25;1.01039;14;691.725;0.000829724;1
12;28.6105;29;0.599592;1;785.516;0.000492382;0
12;31.983;32;0.329078;6;878.111;0.000270238;0
12;34.1509;34;0.0759086;7;937.63;6.23358E-005;0
12;48.9184;49;0.0691029;17;1343.08;5.67469E-005;1
12;186.943;187;0.0257428;18;5132.63;2.11399E-005;1
12;297.08;297;0.0187246;9;8156.49;1.53766E-005;0
12;334.206;334;0.0147611;19;9175.79;1.21218E-005;1
12;360.232;360;0.0146228;8;9890.36;1.20081E-005;0
13;11.4486;-1;5.92384;2;202.346;0.00597152;0
13;1;1;1;10;17.6743;0.00100805;0
13;11.0544;11;5.84019;0;195.379;0.0058872;0
13;13.8938;14;1.10599;3;245.563;0.0011149;0
13;17.7246;18;0.516224;12;313.269;0.00052038;0
13;22.1703;22;0.692631;4;391.844;0.000698207;0
13;25.1889;25;0.338708;15;445.194;0.000341435;0
13;27.8323;28;0.577157;11;491.915;0.000581803;0
13;33.4433;33;1.6648;5;591.086;0.0016782;0
13;33.818;34;1.50341;8;597.707;0.00151551;1
13;36.3226;36;0.199719;16;641.975;0.000201327;0
13;39.1972;39;0.964599;14;692.781;0.000972365;0
13;39.61;40;0.92918;13;700.078;0.000936661;0
13;41.6964;42;0.395022;9;736.952;0.000398202;1
13;44.4416;44;0.591492;1;785.472;0.000596254;0
13;47.459;47;0.240561;18;838.804;0.000242498;1
13;49.6851;50;0.326356;6;878.148;0.000328983;0
13;52.8181;53;0.0643524;19;933.521;6.48705E-005;1
13;57.0451;57;0.134178;7;1008.23;0.000135258;0
13;83.1934;83;0.0720972;17;1470.38;7.26776E-005;0
14;8.52754;-1;1.17918;3;241.453;0.00129438;0
14;0.670022;-1;1.32382;7;18.9713;0.00145314;1
14;3.12952;-1;2.64694;10;88.6108;0.00290552;0
14;1;1;1;13;28.3145;0.00109769;1
14;6.89966;7;6.31618;0;195.36;0.00693319;0
14;7.14347;7;6.25122;2;202.264;0.00686188;0
14;11.1939;11;0.55706;18;316.949;0.000611478;1
14;12.2039;12;0.601606;12;345.547;0.000660375;0
14;13.8467;14;0.744304;4;392.063;0.000817013;0
14;15.7223;16;0.349935;15;445.169;0.000384119;0
14;17.3939;17;0.6422;11;492.499;0.000704935;0
14;19.0351;19;0.249676;19;538.97;0.000274067;1
14;20.8679;21;1.7124;5;590.863;0.00187968;0
14;21.0975;21;1.50348;8;597.364;0.00165035;0
14;22.4867;22;0.260325;16;636.699;0.000285755;0
14;24.4552;24;0.585508;14;692.437;0.000642705;0
14;25.8589;26;0.415456;9;732.182;0.000456041;0
14;27.8864;28;1.10616;1;789.589;0.00121422;0
14;28.106;28;0.889143;17;795.807;0.000976;1
14;31.0296;31;0.352118;6;878.587;0.000386516;0
15;13.4979;-1;1.14482;3;242.62;0.00140385;0
15;5.24168;-1;3.67551;10;94.2175;0.00450714;0
15;1;1;1;7;17.9747;0.00122626;0
15;4.87938;5;3.86329;13;87.7053;0.00473741;1
15;10.8753;11;6.46116;0;195.481;0.00792307;0
