#seq, freq_ratio, harmonic, amp_ratio, tracknum, f, amp, newflag, env, pitch,note
4,11.7283,12,0.104769,14,326.62,1.32293e-05,0,23.8967,0,87.3354
4,10.3399,-1,0.0657267,15,287.954,8.29944e-06,0,23.8967,0,87.3354
4,31.5246,32,0.0356545,16,877.923,4.50217e-06,0,23.8967,0,87.3354
4,58.6452,59,0.0413729,17,1633.2,5.22424e-06,0,23.8967,0,87.3354
4,17.3795,17,0.0467177,18,483.999,5.89915e-06,0,23.8967,0,87.3354
4,12.8239,13,0.143471,19,357.131,1.81164e-05,0,23.8967,0,87.3354
5,13.939,14,0.0508126,0,399.442,6.05756e-06,0,23.8675,0,87.3354
5,13.0231,13,0.0684117,1,373.195,8.15562e-06,0,23.8675,0,87.3354
5,18.79,19,0.0775237,2,538.454,9.2419e-06,0,23.8675,0,87.3354
5,7.9442,8,0.233847,3,227.652,2.78778e-05,0,23.8675,0,87.3354
5,5.96257,6,0.44059,4,170.866,5.25244e-05,0,23.8675,0,87.3354
5,10.8085,11,0.0826744,5,309.734,9.85593e-06,1,23.8675,0,87.3354
5,20.0212,20,0.0626758,6,573.736,7.47182e-06,0,23.8675,0,87.3354
5,15.8285,16,0.036068,7,453.589,4.2998e-06,0,23.8675,0,87.3354
5,3.59756,-1,0.214345,8,103.093,2.55529e-05,0,23.8675,0,87.3354
5,9.56524,-1,0.105419,9,274.105,1.25674e-05,0,23.8675,0,87.3354
5,1,1,1,10,28.6564,0.000119214,0,23.8675,0,87.3354
5,4.55257,-1,0.387309,11,130.46,4.61726e-05,0,23.8675,0,87.3354
5,14.7409,15,0.0925699,12,422.421,1.10356e-05,0,23.8675,0,87.3354
5,2.20257,-1,1.19222,13,63.1178,0.000142129,0,23.8675,0,87.3354
5,11.4251,-1,0.104078,14,327.403,1.24076e-05,0,23.8675,0,87.3354
5,10.2116,10,0.0795673,15,292.628,9.48553e-06,0,23.8675,0,87.3354
5,30.6343,31,0.0369195,16,877.868,4.40131e-06,0,23.8675,0,87.3354
5,56.9895,57,0.0424692,17,1633.11,5.06291e-06,0,23.8675,0,87.3354
5,16.8798,17,0.0495457,18,483.713,5.90653e-06,0,23.8675,0,87.3354
5,12.4631,-1,0.160028,19,357.149,1.90776e-05,0,23.8675,0,87.3354
6,13.5266,-1,0.0554318,0,401.397,6.22059e-06,0,23.8534,0,87.3354
6,29.5795,30,0.0385743,1,877.76,4.32883e-06,1,23.8534,0,87.3354
6,18.1543,18,0.0807531,2,538.721,9.06216e-06,0,23.8534,0,87.3354
6,7.67598,-1,0.249307,3,227.782,2.79773e-05,0,23.8534,0,87.3354
6,5.74681,-1,0.460572,4,170.534,5.16856e-05,0,23.8534,0,87.3354
6,10.4977,-1,0.0930551,5,311.516,1.04427e-05,0,23.8534,0,87.3354
6,19.2975,19,0.0656395,6,572.646,7.36611e-06,0,23.8534,0,87.3354
6,15.2863,15,0.0410484,7,453.615,4.60647e-06,0,23.8534,0,87.3354
6,3.512,-1,0.284107,8,104.217,3.18826e-05,0,23.8534,0,87.3354
6,9.28737,-1,0.116056,9,275.599,1.30238e-05,0,23.8534,0,87.3354
6,1,1,1,10,29.6746,0.000112221,0,23.8534,0,87.3354
6,4.35569,-1,0.433458,11,129.253,4.86429e-05,0,23.8534,0,87.3354
6,14.1944,14,0.0924726,12,421.213,1.03773e-05,0,23.8534,0,87.3354
6,2.14425,-1,1.28454,13,63.6298,0.000144152,0,23.8534,0,87.3354
6,11.0825,11,0.101305,14,328.868,1.13685e-05,0,23.8534,0,87.3354
6,9.81529,10,0.0796046,15,291.265,8.93327e-06,0,23.8534,0,87.3354
6,25.4509,25,0.045196,16,755.244,5.07192e-06,0,23.8534,0,87.3354
6,55.0356,55,0.0431966,17,1633.16,4.84755e-06,0,23.8534,0,87.3354
6,16.3174,16,0.0507715,18,484.212,5.69761e-06,0,23.8534,0,87.3354
6,11.9899,12,0.170283,19,355.795,1.91092e-05,0,23.8534,0,87.3354
7,13.2204,13,0.0632823,0,401.69,6.68367e-06,0,23.8541,0,87.3354
7,28.8824,29,0.0405201,1,877.564,4.2796e-06,0,23.8541,0,87.3354
7,17.7492,18,0.0840967,2,539.291,8.88201e-06,0,23.8541,0,87.3354
7,7.49048,-1,0.265179,3,227.591,2.80073e-05,0,23.8541,0,87.3354
7,5.61506,-1,0.48065,4,170.608,5.07646e-05,0,23.8541,0,87.3354
7,10.2187,10,0.146087,5,310.486,1.54292e-05,0,23.8541,0,87.3354
7,18.8234,19,0.0678473,6,571.93,7.1658e-06,0,23.8541,0,87.3354
7,15.0443,15,0.053104,7,457.106,5.60866e-06,0,23.8541,0,87.3354
7,3.30613,-1,0.3383,8,100.453,3.57301e-05,0,23.8541,0,87.3354
7,8.96858,9,0.0964608,9,272.501,1.01879e-05,0,23.8541,0,87.3354
7,1,1,1,10,30.384,0.000105617,0,23.8541,0,87.3354
7,4.22963,-1,0.475551,11,128.513,5.02261e-05,0,23.8541,0,87.3354
7,13.8123,14,0.0925082,12,419.675,9.77041e-06,0,23.8541,0,87.3354
7,2.10383,-1,1.38871,13,63.9227,0.000146671,0,23.8541,0,87.3354
7,10.8998,11,0.103627,14,331.179,1.09447e-05,0,23.8541,0,87.3354
7,10.047,10,0.099866,15,305.268,1.05475e-05,1,23.8541,0,87.3354
7,24.8718,25,0.0476871,16,755.706,5.03655e-06,0,23.8541,0,87.3354
7,23.5378,24,0.0389418,17,715.174,4.1129e-06,1,23.8541,0,87.3354
7,15.9779,16,0.0511893,18,485.471,5.40644e-06,0,23.8541,0,87.3354
7,11.6961,12,0.192837,19,355.374,2.03668e-05,0,23.8541,0,87.3354
8,13.0191,13,0.0702558,0,401.03,6.94005e-06,0,23.8588,0,87.3354
8,6.13846,6,0.115778,1,189.084,1.14369e-05,1,23.8588,0,87.3354
8,17.5079,18,0.0876235,2,539.299,8.65567e-06,0,23.8588,0,87.3354
8,7.40716,-1,0.279946,3,228.164,2.76538e-05,0,23.8588,0,87.3354
8,5.53077,-1,0.506256,4,170.366,5.00093e-05,0,23.8588,0,87.3354
8,9.84082,10,0.25946,5,303.129,2.56301e-05,1,23.8588,0,87.3354
8,18.4535,18,0.0741531,6,568.427,7.32503e-06,0,23.8588,0,87.3354
8,14.8498,15,0.0578701,7,457.421,5.71656e-06,0,23.8588,0,87.3354
8,3.41509,-1,0.446748,8,105.196,4.41309e-05,0,23.8588,0,87.3354
8,8.96542,9,0.0819949,9,276.164,8.09966e-06,0,23.8588,0,87.3354
8,1,1,1,10,30.8032,9.87826e-05,0,23.8588,0,87.3354
8,4.13459,-1,0.534526,11,127.359,5.28019e-05,0,23.8588,0,87.3354
8,13.5846,-1,0.0930075,12,418.451,9.18752e-06,0,23.8588,0,87.3354
8,2.07319,-1,1.51937,13,63.8608,0.000150087,0,23.8588,0,87.3354
8,10.6524,-1,0.129096,14,328.129,1.27525e-05,0,23.8588,0,87.3354
8,9.91065,10,0.209487,15,305.28,2.06937e-05,0,23.8588,0,87.3354
8,24.5408,25,0.050057,16,755.937,4.94476e-06,0,23.8588,0,87.3354
8,9.51098,-1,0.108713,17,292.969,1.0739e-05,1,23.8588,0,87.3354
8,15.8333,16,0.0526469,18,487.715,5.2006e-06,0,23.8588,0,87.3354
8,11.5394,-1,0.216261,19,355.45,2.13628e-05,0,23.8588,0,87.3354
9,6.31564,-1,0.0452167,0,401.256,6.92947e-06,1,23.8675,31.4585,87.3354
9,2.94445,3,0.0759965,1,187.072,1.16465e-05,1,23.8675,31.4585,87.3354
9,8.49273,-1,0.0550025,2,539.575,8.42915e-06,1,23.8675,31.4585,87.3354
9,3.59311,-1,0.177315,3,228.284,2.71735e-05,1,23.8675,31.4585,87.3354
9,2.6899,-1,0.323147,4,170.899,4.95224e-05,1,23.8675,31.4585,87.3354
9,4.79101,-1,0.152946,5,304.391,2.34391e-05,1,23.8675,31.4585,87.3354
9,8.90704,9,0.04913,6,565.898,7.52919e-06,1,23.8675,31.4585,87.3354
9,7.21497,-1,0.0393474,7,458.394,6.03e-06,1,23.8675,31.4585,87.3354
9,13.7958,14,0.0267486,8,876.502,4.09924e-06,1,23.8675,31.4585,87.3354
9,4.24218,-1,0.0469299,9,269.522,7.19203e-06,1,23.8675,31.4585,87.3354
9,0.482282,-1,0.595352,10,30.6412,9.12379e-05,1,23.8675,31.4585,87.3354
9,1.995,2,0.352232,11,126.75,5.39797e-05,1,23.8675,31.4585,87.3354
9,6.57746,-1,0.0572093,12,417.891,8.76734e-06,1,23.8675,31.4585,87.3354
9,1,1,1,13,63.5338,0.00015325,1,23.8675,31.4585,87.3354
9,5.1874,-1,0.0789233,14,329.575,1.2095e-05,1,23.8675,31.4585,87.3354
9,4.86334,5,0.144996,15,308.986,2.22207e-05,1,23.8675,31.4585,87.3354
9,11.235,11,0.0278364,16,713.803,4.26594e-06,1,23.8675,31.4585,87.3354
9,11.8651,12,0.0321687,17,753.835,4.92987e-06,1,23.8675,31.4585,87.3354
9,7.71295,-1,0.0315683,18,490.033,4.83786e-06,1,23.8675,31.4585,87.3354
9,5.60248,-1,0.14435,19,355.947,2.21217e-05,1,23.8675,31.4585,87.3354
10,6.42124,-1,0.0603817,0,406.126,9.40159e-06,0,23.8944,0,87.3354
10,2.95143,3,0.0764427,1,186.669,1.19023e-05,0,23.8944,0,87.3354
10,8.52016,-1,0.0510266,2,538.876,7.94498e-06,0,23.8944,0,87.3354
10,3.62031,-1,0.169982,3,228.975,2.64667e-05,0,23.8944,0,87.3354
10,2.70743,-1,0.316463,4,171.237,4.92741e-05,0,23.8944,0,87.3354
10,4.70058,-1,0.108958,5,297.298,1.6965e-05,0,23.8944,0,87.3354
10,8.93317,9,0.0481581,6,564.998,7.49833e-06,0,23.8944,0,87.3354
10,7.17907,7,0.0389938,7,454.056,6.07144e-06,0,23.8944,0,87.3354
10,13.8061,14,0.0277351,8,873.198,4.31842e-06,0,23.8944,0,87.3354
10,4.15438,-1,0.042589,9,262.753,6.63123e-06,0,23.8944,0,87.3354
10,0.482434,-1,0.538242,10,30.5126,8.38057e-05,0,23.8944,0,87.3354
10,1.94599,2,0.375096,11,123.078,5.84034e-05,0,23.8944,0,87.3354
10,6.56601,-1,0.0659234,12,415.281,1.02644e-05,0,23.8944,0,87.3354
10,1,1,1,13,63.2472,0.000155703,0,23.8944,0,87.3354
10,5.23748,-1,0.0771619,14,331.256,1.20143e-05,0,23.8944,0,87.3354
10,4.85578,-1,0.121283,15,307.114,1.8884e-05,0,23.8944,0,87.3354
10,11.3147,11,0.0286436,16,715.624,4.45988e-06,0,23.8944,0,87.3354
10,12.7383,13,0.0256707,17,805.662,3.99699e-06,0,23.8944,0,87.3354
10,16.2415,16,0.0200581,18,1027.23,3.12309e-06,1,23.8944,0,87.3354
10,5.63015,-1,0.147281,19,356.091,2.2932e-05,0,23.8944,0,87.3354
11,6.50627,-1,0.0927631,0,409.656,1.45846e-05,0,23.9441,30.7216,87.3354
11,2.9423,3,0.0785328,1,185.257,1.23472e-05,0,23.9441,30.7216,87.3354
11,8.49524,-1,0.042996,2,534.888,6.76001e-06,0,23.9441,30.7216,87.3354
11,3.64461,-1,0.162013,3,229.476,2.54723e-05,0,23.9441,30.7216,87.3354
11,2.72271,-1,0.31601,4,171.431,4.96843e-05,0,23.9441,30.7216,87.3354
11,4.7141,-1,0.105322,5,296.815,1.65592e-05,0,23.9441,30.7216,87.3354
11,8.95544,9,0.0536001,6,563.863,8.42722e-06,0,23.9441,30.7216,87.3354
11,9.775,10,0.0280145,7,615.465,4.40456e-06,1,23.9441,30.7216,87.3354
11,14.7639,15,0.0309798,8,929.583,4.87077e-06,0,23.9441,30.7216,87.3354
11,4.1654,-1,0.0400509,9,262.267,6.29696e-06,0,23.9441,30.7216,87.3354
11,0.481709,-1,0.488517,10,30.3299,7.68066e-05,0,23.9441,30.7216,87.3354
11,1.94463,2,0.39079,11,122.44,6.14416e-05,0,23.9441,30.7216,87.3354
11,6.56313,-1,0.081143,12,413.236,1.27576e-05,0,23.9441,30.7216,87.3354
11,1,1,1,13,62.9632,0.000157224,0,23.9441,30.7216,87.3354
11,5.28276,-1,0.0807887,14,332.619,1.27019e-05,0,23.9441,30.7216,87.3354
11,4.89304,5,0.117311,15,308.082,1.8444e-05,0,23.9441,30.7216,87.3354
11,11.9117,12,0.036575,16,750,5.75046e-06,0,23.9441,30.7216,87.3354
11,12.7493,13,0.0345432,17,802.734,5.43101e-06,0,23.9441,30.7216,87.3354
11,16.3786,16,0.0224644,18,1031.25,3.53195e-06,0,23.9441,30.7216,87.3354
11,5.65926,-1,0.14933,19,356.325,2.34783e-05,0,23.9441,30.7216,87.3354
12,6.48893,-1,0.0833919,0,407.342,1.3151e-05,0,24.0242,31.0268,87.3354
12,2.97358,3,0.0718208,1,186.666,1.13263e-05,0,24.0242,31.0268,87.3354
12,8.49056,-1,0.0445821,2,532.994,7.03067e-06,0,24.0242,31.0268,87.3354
12,3.69469,-1,0.149656,3,231.934,2.36009e-05,0,24.0242,31.0268,87.3354
12,2.72912,-1,0.31038,4,171.32,4.89475e-05,0,24.0242,31.0268,87.3354
12,4.61731,-1,0.097706,5,289.852,1.54084e-05,0,24.0242,31.0268,87.3354
12,8.9471,9,0.0617361,6,561.654,9.73587e-06,0,24.0242,31.0268,87.3354
12,1.99483,2,0.21474,7,125.225,3.38648e-05,1,24.0242,31.0268,87.3354
12,15.5783,16,0.02813,8,977.925,4.43615e-06,0,24.0242,31.0268,87.3354
12,4.13575,-1,0.0423442,9,259.622,6.67775e-06,0,24.0242,31.0268,87.3354
12,0.481451,-1,0.4509,10,30.2231,7.11077e-05,0,24.0242,31.0268,87.3354
12,1.84602,-1,0.395483,11,115.884,6.23683e-05,0,24.0242,31.0268,87.3354
12,6.58557,-1,0.0703303,12,413.409,1.10912e-05,0,24.0242,31.0268,87.3354
12,1,1,1,13,62.7749,0.000157702,0,24.0242,31.0268,87.3354
12,5.30575,-1,0.086382,14,333.068,1.36226e-05,0,24.0242,31.0268,87.3354
12,4.85891,5,0.116093,15,305.018,1.83081e-05,0,24.0242,31.0268,87.3354
12,12.0408,12,0.0427059,16,755.859,6.73478e-06,0,24.0242,31.0268,87.3354
12,12.7875,13,0.043868,17,802.734,6.91805e-06,0,24.0242,31.0268,87.3354
12,14.8415,15,0.0380068,18,931.676,5.99373e-06,1,24.0242,31.0268,87.3354
12,5.68015,-1,0.150096,19,356.571,2.36704e-05,0,24.0242,31.0268,87.3354
13,6.54544,-1,0.0999097,0,408.767,1.57336e-05,0,24.137,0,87.3354
13,3.03839,3,0.065861,1,189.749,1.03717e-05,0,24.137,0,87.3354
13,8.53798,-1,0.0425049,2,533.203,6.69359e-06,0,24.137,0,87.3354
13,3.72489,-1,0.146426,3,232.622,2.30589e-05,0,24.137,0,87.3354
13,2.74061,-1,0.303895,4,171.153,4.78568e-05,0,24.137,0,87.3354
13,4.63269,-1,0.104912,5,289.315,1.65213e-05,0,24.137,0,87.3354
13,8.96258,9,0.0751605,6,559.72,1.18361e-05,0,24.137,0,87.3354
13,12.3423,12,0.0394127,7,770.786,6.20663e-06,1,24.137,0,87.3354
13,15.669,16,0.0407834,8,978.541,6.42248e-06,0,24.137,0,87.3354
13,16.1376,16,0.038638,9,1007.8,6.08463e-06,1,24.137,0,87.3354
13,0.481687,-1,0.416531,10,30.0817,6.55945e-05,0,24.137,0,87.3354
13,1.87294,-1,0.438298,11,116.966,6.90223e-05,0,24.137,0,87.3354
13,6.63087,-1,0.0809768,12,414.103,1.27521e-05,0,24.137,0,87.3354
13,1,1,1,13,62.4507,0.000157478,0,24.137,0,87.3354
13,5.35171,-1,0.0916078,14,334.218,1.44262e-05,0,24.137,0,87.3354
13,4.89185,5,0.122624,15,305.499,1.93106e-05,0,24.137,0,87.3354
13,12.0431,12,0.0646119,16,752.1,1.01749e-05,0,24.137,0,87.3354
13,12.8828,13,0.0492422,17,804.54,7.75456e-06,0,24.137,0,87.3354
13,17.5508,18,0.0416107,18,1096.06,6.55277e-06,1,24.137,0,87.3354
13,5.71703,-1,0.149235,19,357.033,2.35013e-05,0,24.137,0,87.3354
14,6.72586,-1,0.0709,0,410.816,1.10974e-05,0,24.2805,0,87.3354
14,3.54939,-1,0.0838174,1,216.797,1.31193e-05,1,24.2805,0,87.3354
14,8.72958,-1,0.0563988,2,533.203,8.82765e-06,0,24.2805,0,87.3354
14,3.83234,-1,0.14416,3,234.079,2.25641e-05,0,24.2805,0,87.3354
14,2.79573,-1,0.295337,4,170.763,4.62268e-05,0,24.2805,0,87.3354
14,4.79494,-1,0.117081,5,292.875,1.83258e-05,0,24.2805,0,87.3354
14,9.20851,9,0.16056,6,562.456,2.51312e-05,0,24.2805,0,87.3354
14,12.5668,-1,0.0631862,7,767.578,9.89003e-06,0,24.2805,0,87.3354
14,16.0441,16,0.0579542,8,979.976,9.07111e-06,0,24.2805,0,87.3354
14,16.4006,16,0.0441962,9,1001.75,6.91768e-06,0,24.2805,0,87.3354
14,0.491766,-2,0.386702,10,30.0371,6.05273e-05,0,24.2805,0,87.3354
14,1.91293,-1,0.455127,11,116.842,7.12373e-05,0,24.2805,0,87.3354
14,9.12817,9,0.190514,12,557.549,2.98196e-05,1,24.2805,0,87.3354
14,1,1,1,13,61.08,0.000156522,0,24.2805,0,87.3354
14,5.49835,-1,0.0978707,14,335.839,1.53189e-05,0,24.2805,0,87.3354
14,5.0132,5,0.129974,15,306.207,2.03438e-05,0,24.2805,0,87.3354
14,12.3645,-1,0.0727439,16,755.222,1.1386e-05,0,24.2805,0,87.3354
14,13.0897,13,0.0555126,17,799.518,8.68894e-06,0,24.2805,0,87.3354
14,17.5551,18,0.053572,18,1072.27,8.3852e-06,0,24.2805,0,87.3354
14,5.85514,6,0.144678,19,357.632,2.26452e-05,0,24.2805,0,87.3354
15,6.77746,-1,0.0802462,0,410.612,1.27549e-05,0,24.4527,0,87.3354
15,1.4372,-1,0.395738,1,87.0728,6.29011e-05,1,24.4527,0,87.3354
15,8.80699,9,0.120384,2,533.571,1.91346e-05,0,24.4527,0,87.3354
15,3.86854,-1,0.104187,3,234.375,1.65602e-05,0,24.4527,0,87.3354
15,2.81656,-1,0.289524,4,170.641,4.60189e-05,0,24.4527,0,87.3354
15,3.86854,-1,0.0412122,5,234.375,6.55053e-06,1,24.4527,0,87.3354
15,8.69186,-1,0.121042,6,526.595,1.92392e-05,1,24.4527,0,87.3354
15,12.6983,13,0.113919,7,769.326,1.8107e-05,0,24.4527,0,87.3354
15,16.1953,16,0.0813094,8,981.188,1.29238e-05,0,24.4527,0,87.3354
15,16.4845,-1,0.0676574,9,998.711,1.07539e-05,0,24.4527,0,87.3354
15,0.492097,-2,0.352429,10,29.8136,5.60174e-05,0,24.4527,0,87.3354
15,1.91744,-1,0.466343,11,116.168,7.41236e-05,0,24.4527,0,87.3354
15,9.19145,9,0.102684,12,556.863,1.63213e-05,0,24.4527,0,87.3354
15,1,1,1,13,60.5849,0.000158947,0,24.4527,0,87.3354
15,5.56185,-1,0.104976,14,336.964,1.66856e-05,0,24.4527,0,87.3354
15,5.02284,5,0.140326,15,304.308,2.23043e-05,0,24.4527,0,87.3354
15,12.512,-1,0.108068,16,758.037,1.71771e-05,0,24.4527,0,87.3354
15,13.2302,13,0.0816949,17,801.553,1.29851e-05,0,24.4527,0,87.3354
15,17.6583,18,0.0602759,18,1069.82,9.58064e-06,0,24.4527,0,87.3354
15,5.91798,6,0.134524,19,358.54,2.1382e-05,0,24.4527,0,87.3354
16,6.86063,7,0.0889743,0,410.876,1.42419e-05,0,24.6455,29.7338,87.3354
16,1.45072,-1,0.373373,1,86.8819,5.97651e-05,0,24.6455,29.7338,87.3354
16,8.87211,9,0.165085,2,531.341,2.64248e-05,0,24.6455,29.7338,87.3354
16,3.92342,4,0.145231,3,234.97,2.32468e-05,0,24.6455,29.7338,87.3354
16,2.84784,-1,0.285513,4,170.554,4.57014e-05,0,24.6455,29.7338,87.3354
16,3.71782,-1,0.0227867,5,222.656,3.64741e-06,0,24.6455,29.7338,87.3354
16,8.69576,-1,0.142408,6,520.78,2.2795e-05,0,24.6455,29.7338,87.3354
16,17.8811,18,0.0719541,7,1070.88,1.15175e-05,1,24.6455,29.7338,87.3354
16,16.3902,16,0.110753,8,981.595,1.77281e-05,0,24.6455,29.7338,87.3354
16,16.5539,17,0.126588,9,991.394,2.02627e-05,0,24.6455,29.7338,87.3354
16,0.485171,-1,0.327207,10,29.0564,5.23754e-05,0,24.6455,29.7338,87.3354
16,1.9383,-1,0.464333,11,116.083,7.43248e-05,0,24.6455,29.7338,87.3354
16,9.29413,-1,0.119615,12,556.616,1.91466e-05,0,24.6455,29.7338,87.3354
16,1,1,1,13,59.889,0.000160068,0,24.6455,29.7338,87.3354
16,5.6806,-1,0.121637,14,340.205,1.94702e-05,0,24.6455,29.7338,87.3354
16,5.08109,5,0.150962,15,304.301,2.41642e-05,0,24.6455,29.7338,87.3354
16,12.587,-1,0.10002,16,753.82,1.601e-05,0,24.6455,29.7338,87.3354
16,13.3793,13,0.0995607,17,801.273,1.59365e-05,0,24.6455,29.7338,87.3354
16,18.292,18,0.0783414,18,1095.49,1.25399e-05,0,24.6455,29.7338,87.3354
16,6.04358,6,0.123174,19,361.944,1.97163e-05,0,24.6455,29.7338,87.3354
