pitch,dB,1,2,3,4,5,6,tweeters,outliers
,-1500,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0
,-1500,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0
23425.6,-14.861644528912478,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,98.81366079230676
22271.4,13.624868176851379,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,111.62625738095258
22393.4,16.71826355060074,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,107.33577647640473
533.417,50.470226240288774,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,150.15865903839386
541.359,55.357667726824,100.0,99.54258306137709,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,155.05240023072773
553.4,55.63966602977126,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,161.763892412631
23.4375,42.57873268123292,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,106.63692341294771,123.43186378858688
637.667,49.267203329813476,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,167.68251013488648
41.8912,45.40820984004914,100.0,95.55132603051304,-1400.0,82.54906502999046,83.3139621835698,73.71713324056259,84.92579967583917,80.76887027985482
41.3722,39.45508769232437,100.0,95.76219959955579,77.40675505926274,82.32333988914596,83.96622004150919,74.40977679147636,84.88213621839694,-1400.0
41.6358,42.174114138892584,100.0,95.43864109729564,74.14006912629979,81.46347033027496,83.68139468102373,74.77653637031526,83.99635118746914,-1400.0
41.9856,41.78345805077042,100.0,95.22061697589865,76.75120666759274,81.8292142285235,83.0753801176997,74.04802743586573,82.85749297632456,-1400.0
41.1046,40.24438994254449,100.0,95.8390817258691,81.56835013396912,83.02416039834078,83.32779706089293,73.61829192825073,82.3421318339953,46.07350900231887
42.0054,35.831208226201895,100.0,95.55810571936249,83.09776893278206,82.20243558220734,82.61952754022387,73.17842469336564,81.30193202894974,-1400.0
41.7761,40.322942863109915,100.0,95.80637423923656,83.65588771567928,81.74295002457863,82.42912324190713,73.56484414372528,80.53891027580717,-1400.0
41.3982,39.651864307865566,100.0,95.71142094716294,82.85395508963418,81.72856558367843,82.2160065719836,72.70558520474651,79.51153773040411,-1400.0
42.2242,37.36440324687175,100.0,95.19312591373334,80.43225650548956,81.8975178595991,81.68354225393537,71.70204784805466,78.07538643213212,37.78180589394794
41.4601,37.47478923924304,100.0,95.65341846238991,78.45283536427884,82.59256368221017,81.86828845610106,72.07226390855243,77.45723787520414,-1400.0
41.5824,37.29209149666792,100.0,95.5765762257288,77.57688098494594,81.97739000656844,81.31576854220648,71.2913764252284,76.19724294882644,-1400.0
41.9599,27.26242765093218,100.0,95.46599872548283,78.57800405599086,81.56746495030484,80.99780744732573,70.53100146380156,74.99023135611796,-1400.0
41.4114,29.455690480252557,100.0,95.55670730754485,80.4928000705546,81.914599140619,80.75538439073526,70.5673910043915,74.0116274085926,-1400.0
42.0248,29.157637934679855,100.0,94.93310170653106,80.92191555467136,81.8808826191416,80.06236828231405,70.3448386333762,72.92462278382975,-1400.0
41.8642,30.03106564465513,100.0,95.07722156716841,81.11635701530076,82.31682716793365,80.1110776303797,70.05053385676757,72.22156702909997,-1400.0
41.558,33.945758847976705,100.0,95.28861280243137,80.4069403617852,82.28832155219948,80.00712258059093,69.6126842502575,71.24752074291546,-1400.0
42.0545,36.322788886698554,100.0,95.0420273578599,79.00692486834092,82.03856938102702,79.56093078202588,69.24967182190984,70.05675398529259,-1400.0
41.5401,36.832074161115095,100.0,95.24083710941548,79.14037286086247,82.60090506206991,79.61005008455328,69.31053806547374,69.53517410044464,-1400.0
41.7934,38.55389358799911,100.0,94.82222861799423,79.84779971817254,82.37374275968475,79.0507682527965,68.73798264736958,68.54891806041411,-1400.0
42.1086,28.761146272591247,100.0,94.77762067975235,81.12350417869648,82.02800349134033,78.55883019875124,68.57219022973305,66.4480853211052,37.61216968570062
